class_id,common_name,count
114,Lymphocytes/Leukocytes in Peritoneal fluid,285
115,Sodium [Moles/volume] in Urine,276
116,Osmolality of Urine,268
117,Deprecated Cholesterol.in LDL [Mass/volume] in Serum or Plasma,264
118,Salicylates [Presence] in Serum or Plasma,264
119,Urea nitrogen [Mass/volume] in Urine,264
120,Chloride [Moles/volume] in Blood,261
121,Schistocytes [Presence] in Blood by Light microscopy,255
122,Granulocytes/Leukocytes in Peritoneal fluid,247
123,Mucus [Presence] in Urine sediment by Light microscopy,244
124,Folate [Mass/volume] in Serum or Plasma,231
125,Platelets Large [Presence] in Blood by Automated count,230
126,Monocytes/Leukocytes in Peritoneal fluid,228
127,PHENobarbital [Presence] in Serum or Plasma,217
128,Hyaline casts [#/area] in Urine sediment by Microscopy low power field,215
129,Erythrocytes [#/volume] in Peritoneal fluid,209
130,Cocaine [Presence] in Urine,209
131,Methadone [Presence] in Urine,209
132,Cholesterol [Mass/volume] in Serum or Plasma,200
133,Amphetamines [Presence] in Urine,190
134,Opiates [Presence] in Urine,190
135,Osmolality of Serum or Plasma,188
136,Burr cells [Presence] in Blood by Light microscopy,186
137,Lymphocytes/Leukocytes in Cerebral spinal fluid,180
138,Leukocytes [#/volume] in Peritoneal fluid,171
139,Barbiturates [Presence] in Urine,171
140,Ethanol [Presence] in Serum or Plasma,168
141,Phenytoin Free/Phenytoin.total in Serum or Plasma,168
142,Lymphocytes/Leukocytes in Pleural fluid,165
143,Haptoglobin [Mass/volume] in Serum or Plasma,164
144,Amorphous sediment [Presence] in Urine sediment by Light microscopy,162
145,Macrophages/Leukocytes in Peritoneal fluid by Manual count,156
146,Deprecated Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid,156
147,Protein electrophoresis panel - Serum or Plasma,154
148,Protein Fractions [Interpretation] in Urine by Electrophoresis,152
149,Lymphocytes/Leukocytes in Body fluid,150
150,Prostate specific Ag [Mass/volume] in Serum or Plasma,150
151,Tricyclic antidepressants [Presence] in Serum or Plasma,144
152,Phenytoin Free [Mass/volume] in Serum or Plasma,144
153,Monocytes/Leukocytes in Cerebral spinal fluid,144
154,Mesothelial cells/Leukocytes in Peritoneal fluid,143
155,Granulocytes/Leukocytes in Pleural fluid,143
156,Ammonia [Moles/volume] in Plasma,138
157,Deprecated Hepatitis B virus core Ab [Units/volume] in Serum by Immunoassay,133
158,Thyroxine (T4) [Mass/volume] in Serum or Plasma,132
159,Erythrocytes [#/volume] in Cerebral spinal fluid,132
160,Fibrin D-dimer FEU [Mass/volume] in Platelet poor plasma,130
161,Deprecated Polymorphonuclear cells/100 leukocytes in Body fluid,130
162,Benzodiazepines [Presence] in Blood,130
163,Lactate dehydrogenase [Enzymatic activity/volume] in Pleural fluid,128
164,Monocytes/Leukocytes in Pleural fluid,121
165,Erythrocytes [#/volume] in Pleural fluid,121
166,Leukocytes [#/volume] in Cerebral spinal fluid,120
167,Protein/Creatinine [Mass Ratio] in Urine,120
168,Deprecated Cobalamin [Mass/volume] in Serum,114
169,Lactate dehydrogenase [Enzymatic activity/volume] in Peritoneal fluid,112
170,Target cells [Presence] in Blood by Light microscopy,110
171,Monocytes/Leukocytes in Body fluid by Manual count,110
172,Parathyrin.intact [Mass/volume] in Serum or Plasma,108
173,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,108
174,Carboxyhemoglobin/Hemoglobin.total in Blood,105
175,Spherocytes [Presence] in Blood by Light microscopy,104
176,Ferritin [Mass/volume] in Serum or Plasma,100
177,Iron [Mass/volume] in Serum or Plasma,100
178,Basophilic stippling [Presence] in Blood by Light microscopy,100
179,Erythrocytes [#/volume] in Body fluid,99
180,Microscopic observation [Identifier] in Tissue by Wright stain,99
181,Leukocytes [#/volume] in Pleural fluid,99
182,Cancer Ag 27-29 [Units/volume] in Serum or Plasma,99
183,Troponin I.cardiac [Mass/volume] in Serum or Plasma,98
184,Immunofixation for Serum or Plasma Narrative,98
185,Eosinophils [Presence] in Urine sediment by Light microscopy,98
186,Benzodiazepines [Presence] in Urine,95
187,Leukocytes [#/volume] in Body fluid,90
188,Granular casts [#/area] in Urine sediment by Microscopy low power field,90
189,Bicarbonate [Moles/volume] in Blood,90
190,TBX5 gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal,88
191,Globulin [Mass/volume] in Serum,78
192,Potassium [Moles/volume] in Urine,78
193,Macrophages/Leukocytes in Pleural fluid by Manual count,78
194,Mesothelial cells/Leukocytes in Pleural fluid,77
195,Chloride [Moles/volume] in Urine,75
196,Valproate [Mass/volume] in Serum or Plasma,75
197,Digoxin [Mass/volume] in Serum or Plasma,72
198,Thyroxine (T4)/Thyroxine binding globulin [Mass Ratio] in Serum or Plasma,72
199,Eosinophils/Leukocytes in Peritoneal fluid,70
200,Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field,70
201,Leukocytes other [#/volume] in Blood by Manual count,66
202,Methemoglobin/Hemoglobin.total in Blood,65
203,Hepatitis C virus Ab [Presence] in Serum,63
204,Promyelocytes [#/volume] in Blood by Manual count,63
205,Microalbumin/Creatinine [Mass Ratio] in 24 hour Urine,63
206,Macrophages/Leukocytes in Body fluid by Manual count,60
207,Triiodothyronine (T3) [Mass/volume] in Serum or Plasma,60
208,Lutropin [Mass/volume] in Serum or Plasma --baseline,60
209,Thyroxine (T4) free index in Serum or Plasma by calculation,60
210,Protein [Mass/volume] in Serum or Plasma,58
211,Immunofixation for Urine Narrative,56
212,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,56
213,Transitional cells [#/area] in Urine sediment by Microscopy high power field,55
214,Lymphocytes/Leukocytes in Synovial fluid,54
215,Protein [Presence] in Urine,51
216,Granulocytes/Leukocytes in Synovial fluid,50
217,Plasma cells/Leukocytes in Blood,48
218,IgG [Mass/volume] in Serum or Plasma,46
219,Hepatitis B virus core IgM Ab [Presence] in Serum,45
220,Hepatitis A virus Ab [Units/volume] in Serum or Plasma by Immunoassay,45
221,Glucose [Mass/volume] in Cerebral spinal fluid,44
222,Microscopic observation [Identifier] in Bone marrow by Wright Giemsa stain,44
223,Monocytes/Leukocytes in Synovial fluid,44
